iter	Passed	Remaining
324	918	494
325	920	491
326	923	488
327	925	485
328	927	482
329	929	479
330	932	476
331	934	472
332	936	469
333	939	466
334	941	463
335	943	460
336	945	457
337	948	454
338	950	451
339	953	448
340	955	445
341	957	442
342	959	439
343	962	436
344	964	433
345	966	430
346	969	427
347	971	424
348	973	421
349	975	418
350	978	415
351	980	412
352	982	409
353	985	406
354	987	403
355	990	400
356	992	397
357	995	394
358	997	391
359	1000	389
360	1003	386
361	1006	383
362	1008	380
363	1011	377
364	1013	374
365	1016	372
366	1018	369
367	1021	366
368	1023	363
369	1026	360
370	1028	357
371	1031	354
372	1033	351
373	1035	348
374	1038	346
375	1040	343
376	1042	340
377	1045	337
378	1047	334
379	1049	331
380	1052	328
381	1054	325
382	1056	322
383	1059	320
384	1062	317
385	1065	314
386	1067	311
387	1069	308
388	1072	305
389	1074	303
390	1076	300
391	1078	297
392	1081	294
393	1083	291
394	1085	288
395	1087	285
396	1090	282
397	1092	280
398	1094	277
399	1097	274
400	1099	271
401	1101	268
402	1104	265
403	1106	262
404	1108	260
405	1111	257
406	1113	254
407	1115	251
408	1117	248
409	1120	245
410	1122	243
411	1124	240
412	1127	237
413	1129	234
414	1131	231
415	1133	228
416	1136	226
417	1138	223
418	1140	220
419	1143	217
420	1145	214
421	1147	212
422	1149	209
423	1152	206
424	1154	203
425	1157	200
426	1159	198
427	1161	195
428	1163	192
429	1166	189
430	1168	187
431	1170	184
432	1173	181
433	1175	178
434	1177	175
435	1180	173
436	1182	170
437	1184	167
438	1187	164
439	1189	162
440	1191	159
441	1194	156
442	1196	153
443	1198	151
444	1200	148
445	1203	145
446	1205	142
447	1207	140
448	1210	137
449	1212	134
450	1214	131
451	1216	129
452	1219	126
453	1221	123
454	1223	121
455	1226	118
456	1228	115
457	1230	112
458	1232	110
459	1235	107
460	1237	104
461	1239	101
462	1241	99
463	1244	96
464	1246	93
465	1248	91
466	1251	88
467	1253	85
468	1255	82
469	1257	80
470	1260	77
471	1262	74
472	1264	72
473	1267	69
474	1269	66
475	1271	64
476	1273	61
477	1276	58
478	1278	56
479	1280	53
480	1283	50
481	1285	47
482	1287	45
483	1289	42
484	1292	39
485	1294	37
486	1296	34
487	1298	31
488	1301	29
489	1303	26
490	1305	23
491	1307	21
492	1310	18
493	1312	15
494	1314	13
495	1317	10
496	1319	7
497	1321	5
498	1323	2
499	1326	0
